# The Envoy demo subscribers - every line the player can read, English.
#
# The vocabulary is in here as well, and that is the point rather than tidiness:
# the phrases the subscribers register have to be in the language the player
# actually speaks, which is the language of the installed model. Adding a language
# to the demo is adding a translation mod, not editing a script.
#
# Built by the SDK script of the bridge into
# Interface/Translations/EnvoyDemo_<language>.txt, which both the game and
# Envoy.Translate read.

$ENVOYDEMO_NOBODY	nobody
$ENVOYDEMO_ON_AIR	Envoy is on the air, participants:
$ENVOYDEMO_SAY_SOMETHING	Say something - the next dialogue will show the recognised text.
$ENVOYDEMO_HEARS	Envoy hears.
$ENVOYDEMO_TOPIC	topic
$ENVOYDEMO_RECOGNISED	recognised
$ENVOYDEMO_COMPLETENESS	completeness
$ENVOYDEMO_FURTHER	From here on the report comes as notices in the corner.
$ENVOYDEMO_OUTCOME	outcome
$ENVOYDEMO_UTTERANCE	Utterance
$ENVOYDEMO_REASON	Reason
$ENVOYDEMO_GREEDY	greedy
$ENVOYDEMO_SHARED	sharing
$ENVOYDEMO_BIDS	bids
$ENVOYDEMO_TOOK_IT	TOOK IT
$ENVOYDEMO_GOT_IT	got it, winners:
$ENVOYDEMO_REFUSED	refused
$ENVOYDEMO_WINNERS_TOTAL	Winners in total:
$ENVOYDEMO_GREEDY_WON	THE GREEDY ONE TOOK THE UTTERANCE FOR ITSELF
$ENVOYDEMO_GREEDY_WON_WHY	It demanded exclusivity and got it - so the sharing one was left with nothing.
$ENVOYDEMO_GREEDY_DENIED	THE GREEDY ONE WAS REFUSED
$ENVOYDEMO_SHARED_WON	THE SHARING ONE GOT THE UTTERANCE
$ENVOYDEMO_SHARED_WON_WHY	It shares, so the greedy one dropped out entirely - it was the one demanding exclusivity.
$ENVOYDEMO_SHARED_DENIED	THE SHARING ONE WAS REFUSED
$ENVOYDEMO_WORD_DOOR	close the door
$ENVOYDEMO_WORD_RADIOCHECK	radio check
$ENVOYDEMO_WORD_AROUND	what is around
