# SpeechBrokerVoiceAdapter - every line the adapter puts out, Russian.
#
# Translated from localization/speechbrokervoiceadapter.english.txt. The numbered
# placeholders may be reordered freely, but every one of them has to appear.

$SPEECHBROKERVOICE_WORD_I_AM_SOURCE	я источник
$SPEECHBROKERVOICE_WORD_I_AM_RESERVE	я в запасе
$SPEECHBROKERVOICE_WORD_NOTHING	ничего
$SPEECHBROKERVOICE_WORD_DID_NOT_WORK	не вышло
$SPEECHBROKERVOICE_LOG_NO_SETTINGS	нет файла настроек: {0}
$SPEECHBROKERVOICE_LOG_SETTINGS_BROKEN	настройки не разобраны: {0}
$SPEECHBROKERVOICE_LOG_PIECE_UNKNOWN	модель {0}: кусок {1} в переводе не найден - его поглощение до моста не дойдёт
$SPEECHBROKERVOICE_LOG_BRIDGE_REFUSED_UTTERANCE	мост не принял реплику от модели {0}
$SPEECHBROKERVOICE_LOG_ABSORBS	реплика {0} поглощает {1} прежних, завершённость {2:.2f}
$SPEECHBROKERVOICE_LOG_BRIDGE_ROLE	мост: {0} ({1})
$SPEECHBROKERVOICE_LOG_VOCABULARY	словарь подписчиков: {0} фраз
$SPEECHBROKERVOICE_LOG_NOT_FOR_ME	запрос к {0} мне не адресован
$SPEECHBROKERVOICE_LOG_REGISTER_REFUSED	мост отказал в регистрации
$SPEECHBROKERVOICE_LOG_REGISTERED	зарегистрирован в мосту как {0}
$SPEECHBROKERVOICE_LOG_BRIDGE_TOO_OLD	мост старше меня: он понимает контракт версии {0}, а я говорю на {1} - работать не буду
$SPEECHBROKERVOICE_LOG_BRIDGE_NEWER	мост новее меня: контракт версии {0} против моих {1} - работаю по своей, новых полей он у меня не спросит
$SPEECHBROKERVOICE_LOG_INTERFACE_RECEIVED	интерфейс моста получен, версия {0}
$SPEECHBROKERVOICE_LOG_PLUGIN_LOADED	{0} v{1} загружен
$SPEECHBROKERVOICE_LOG_NO_SETTINGS_FATAL	без настроек работать не могу
$SPEECHBROKERVOICE_LOG_NO_SPEAKER	озвучка {0}: ни одна установленная модель не умеет говорить
$SPEECHBROKERVOICE_LOG_RING_READY	кольцо: место на {0} отсчётов, {1} кБ
$SPEECHBROKERVOICE_LOG_RING_NO_ROOM	кольцо: построено без места вовсе - каждый отсчёт микрофона будет считаться потерянным
$SPEECHBROKERVOICE_LOG_PACER_READY	темп: прогон на паузе {0} мс, ход закончен после {1} мс тишины, и прогон не реже чем раз в {2} мс
$SPEECHBROKERVOICE_LOG_PACER_SPAN_TOO_SHORT	темп: maxSpanMs {0} не больше sliceSilenceMs {1} - потолок наступит раньше, чем пауза, и каждый прогон будет обрезан посреди слова
$SPEECHBROKERVOICE_LOG_PACER_SPAN	темп: {0} мс без паузы - прогон по потолку
$SPEECHBROKERVOICE_LOG_RESAMPLE_DIRECT	пересчёт частоты: источник и так на {0} Гц - отсчёты идут дальше как есть
$SPEECHBROKERVOICE_LOG_RESAMPLE_AVERAGE	пересчёт частоты: {0} Гц -> {1} Гц, усредняю целые группы по {2} отсчёта
$SPEECHBROKERVOICE_LOG_RESAMPLE_INTERPOLATE	пересчёт частоты: {0} Гц -> {1} Гц, интерполяция с переносом фазы между блоками
$SPEECHBROKERVOICE_LOG_RESAMPLE_NO_RATE	пересчёт частоты: частота источника не задана - считаю её равной {0} Гц и пропускаю отсчёты как есть
$SPEECHBROKERVOICE_LOG_JUDGE_BAD_INPUT	завершённость: у куска пришло число, которое не является вероятностью - noSpeechProb {0:.3f}, lastWordProb {1:.3f}, terminalFall {2:.3f} (-1 там означает «не задано») - считаю его незаданным. Говорю об этом один раз за запуск
$SPEECHBROKERVOICE_LOG_FLOOR_MEASURING	порог: измеряю, как звучит комната - {0} мс прогрева, затем {1} мс прослушивания. Пока это идёт, говорить нельзя
$SPEECHBROKERVOICE_LOG_FLOOR	порог: уровень шума {0:.0f}, порог срабатывания {1:.0f}
$SPEECHBROKERVOICE_LOG_PROSODY_BAND	тон: кадры по {0} мс с шагом {1} мс, задержки {2}..{3} - это от {4:.0f} до {5:.0f} Гц
$SPEECHBROKERVOICE_LOG_PROSODY_NO_BAND	тон: при frameMs {0}, hopMs {1}, minHz {2} и maxHz {3} искать негде - тон измеряться не будет
$SPEECHBROKERVOICE_LOG_PROSODY_FALL	тон: терминальное падение {0:.2f} по {1} озвонченным кадрам хвоста, диапазон говорящего от {2:.0f} до {3:.0f} Гц
$SPEECHBROKERVOICE_LOG_PROSODY_NO_RANGE	тон: судить не по чему - диапазон говорящего ещё не известен, {0} озвонченных кадров против нужных {1}
$SPEECHBROKERVOICE_LOG_PROSODY_SHORT	тон: судить не по чему - {0} мс звука, а падение не меряется короче {1} мс
$SPEECHBROKERVOICE_LOG_PROSODY_NO_VOICE	тон: судить не по чему - {0} озвонченных кадров в хвосте против нужных {1}
$SPEECHBROKERVOICE_LOG_TURN_NO_CEILING	у речевого хода нет потолка: maxUttSec дал ноль отсчётов, и по длине ход не закончится никогда
$SPEECHBROKERVOICE_LOG_TURN_OVERFULL	ход {0}: {1} отсчётов пришло за потолок {2} и было отброшено - этот блок должен был начать новый ход
$SPEECHBROKERVOICE_LOG_TURN_PASS_SHORT	ход {0}, прогон {1}: после обрезки осталось {2} мс при пороге {3} мс - ничего не отдаю
$SPEECHBROKERVOICE_LOG_TURN_PASS_QUIET	ход {0}, прогон {1}: самый громкий отсчёт {2:.0f} при пороге {3:.0f} - это тишина, ничего не отдаю
$SPEECHBROKERVOICE_LOG_TURN_FINAL_REPEAT	ход {0}: последний срез отклонён, отдаю прежний буфер заново как прогон {1}, последний
$SPEECHBROKERVOICE_LOG_AUDIO_ENUM_FAILED	микрофон: не удалось перечислить устройства записи этой машины, код {0} - слушать нечем
$SPEECHBROKERVOICE_LOG_AUDIO_NO_INPUTS	микрофон: ни одно устройство записи этой машины не включено
$SPEECHBROKERVOICE_LOG_AUDIO_ENDPOINT	микрофон: найдено устройство {0}
