# The Speech Broker demo subscribers - every line the player can read, Russian.
#
# Translated from localization/speechbrokerdemo.english.txt. The three vocabulary
# phrases are the ones the run of 04.09 was recorded with, so the scenarios in
# bridge/tests and this table say the same words.

$SPEECHBROKERDEMO_NOBODY	никого
$SPEECHBROKERDEMO_ON_AIR	Speech Broker на связи, участников:
$SPEECHBROKERDEMO_SAY_SOMETHING	Скажи что-нибудь - следующий диалог покажет распознанный текст.
$SPEECHBROKERDEMO_HEARS	Speech Broker слышит.
$SPEECHBROKERDEMO_TOPIC	тема
$SPEECHBROKERDEMO_RECOGNISED	распознано
$SPEECHBROKERDEMO_COMPLETENESS	завершённость
$SPEECHBROKERDEMO_FURTHER	Дальше отчёт пойдёт надписями в углу.
$SPEECHBROKERDEMO_OUTCOME	итог
$SPEECHBROKERDEMO_UTTERANCE	Реплика
$SPEECHBROKERDEMO_REASON	Причина
$SPEECHBROKERDEMO_GREEDY	жадный
$SPEECHBROKERDEMO_SHARED	делящийся
$SPEECHBROKERDEMO_BIDS	ставлю
$SPEECHBROKERDEMO_TOOK_IT	ВЗЯЛ СЕБЕ
$SPEECHBROKERDEMO_GOT_IT	получил, победителей:
$SPEECHBROKERDEMO_REFUSED	отказ
$SPEECHBROKERDEMO_WINNERS_TOTAL	Победителей всего:
$SPEECHBROKERDEMO_GREEDY_WON	ЖАДНЫЙ ВЗЯЛ РЕПЛИКУ СЕБЕ
$SPEECHBROKERDEMO_GREEDY_WON_WHY	Он требовал исключительности и получил её - значит делящийся остался ни с чем.
$SPEECHBROKERDEMO_GREEDY_DENIED	ЖАДНОМУ ОТКАЗАНО
$SPEECHBROKERDEMO_SHARED_WON	ДЕЛЯЩИЙСЯ ПОЛУЧИЛ РЕПЛИКУ
$SPEECHBROKERDEMO_SHARED_WON_WHY	Он делится, поэтому жадный выбыл целиком - тот требовал исключительности.
$SPEECHBROKERDEMO_SHARED_DENIED	ДЕЛЯЩЕМУСЯ ОТКАЗАНО
$SPEECHBROKERDEMO_WORD_DOOR	закрой дверь
$SPEECHBROKERDEMO_WORD_RADIOCHECK	проверка связи
$SPEECHBROKERDEMO_WORD_AROUND	что вокруг
$SPEECHBROKERDEMO_NO_BRIDGE	Speech Broker: моста нет.\n\nПлагин SpeechBroker.dll не загрузился - смотри SpeechBroker.log.
$SPEECHBROKERDEMO_NOT_MINE	не моё
$SPEECHBROKERDEMO_DECLARED	объявился, словарь из
$SPEECHBROKERDEMO_PHRASES	фраз
