# SpeechBrokerVoiceAdapter - every line the adapter puts out, English.
#
# The adapter has no window and no notices: all of this is the log. It is
# translated like everything else in Speech Broker; the one thing that stays as it came is
# the recognised speech, because what a person said is data and not a message.
#
# Placeholders are numbered, {0} and {1} rather than a bare {}, because another
# language puts the words in another order. A wrong number of them does not
# silence the line: the adapter falls back to printing the bare key.

$SPEECHBROKERVOICE_WORD_I_AM_SOURCE	I am the source
$SPEECHBROKERVOICE_WORD_I_AM_RESERVE	I am in reserve
$SPEECHBROKERVOICE_WORD_NOTHING	nothing
$SPEECHBROKERVOICE_WORD_DID_NOT_WORK	did not work
$SPEECHBROKERVOICE_LOG_NO_SETTINGS	no settings file: {0}
$SPEECHBROKERVOICE_LOG_SETTINGS_BROKEN	the settings did not parse: {0}
$SPEECHBROKERVOICE_LOG_PIECE_UNKNOWN	model {0}: piece {1} was not found in the translation - its absorption will not reach the bridge
$SPEECHBROKERVOICE_LOG_BRIDGE_REFUSED_UTTERANCE	the bridge did not take the utterance from model {0}
$SPEECHBROKERVOICE_LOG_ABSORBS	utterance {0} absorbs {1} earlier ones, completeness {2:.2f}
$SPEECHBROKERVOICE_LOG_BRIDGE_ROLE	bridge: {0} ({1})
$SPEECHBROKERVOICE_LOG_VOCABULARY	vocabulary of the subscribers: {0} phrases
$SPEECHBROKERVOICE_LOG_NOT_FOR_ME	a request to {0} is not addressed to me
$SPEECHBROKERVOICE_LOG_REGISTER_REFUSED	the bridge refused to register us
$SPEECHBROKERVOICE_LOG_REGISTERED	registered at the bridge as {0}
$SPEECHBROKERVOICE_LOG_BRIDGE_TOO_OLD	the bridge is older than me: it understands contract version {0}, and I speak {1} - I will not work
$SPEECHBROKERVOICE_LOG_BRIDGE_NEWER	the bridge is newer than me: contract version {0} against my {1} - working by mine, it will not ask me for the new fields
$SPEECHBROKERVOICE_LOG_INTERFACE_RECEIVED	the interface of the bridge received, version {0}
$SPEECHBROKERVOICE_LOG_PLUGIN_LOADED	{0} v{1} loaded
$SPEECHBROKERVOICE_LOG_NO_SETTINGS_FATAL	I cannot work without settings
$SPEECHBROKERVOICE_LOG_NO_SPEAKER	speech {0}: not one installed model can speak
$SPEECHBROKERVOICE_LOG_RING_READY	ring: room for {0} samples, {1} kB
$SPEECHBROKERVOICE_LOG_RING_NO_ROOM	ring: built with no room at all - every sample of the microphone will be counted as lost
$SPEECHBROKERVOICE_LOG_PACER_READY	pacer: a pass on a pause of {0} ms, a turn is over after {1} ms of silence, and a pass at least every {2} ms
$SPEECHBROKERVOICE_LOG_PACER_SPAN_TOO_SHORT	pacer: maxSpanMs {0} is not longer than sliceSilenceMs {1} - the ceiling will come up before a pause ever can, and every pass will be cut mid-word
$SPEECHBROKERVOICE_LOG_PACER_SPAN	pacer: {0} ms without a pause - a pass by the ceiling
$SPEECHBROKERVOICE_LOG_RESAMPLE_DIRECT	resampler: the source is already at {0} Hz - the samples go over untouched
$SPEECHBROKERVOICE_LOG_RESAMPLE_AVERAGE	resampler: {0} Hz -> {1} Hz, averaging whole groups of {2} samples
