# Speech Broker - Voice Model - Whisper RU: every line this mod puts out, Russian.
#
# Translated from localization/speechbrokermodelwhisperru.english.txt. The
# numbered placeholders may be reordered freely, but every one of them has to
# appear.

# --- loading, settings ------------------------------------------------------
$SBWHISPERRU_LOG_PLUGIN_LOADED	{0} {1} загружен, его собственная папка - {2}
$SBWHISPERRU_LOG_NO_MESSAGING	SKSE не выдал интерфейс сообщений - встретиться с адаптером невозможно, и этот мод ничего не сделает
$SBWHISPERRU_LOG_SETTINGS_WRITTEN	настроек не нашлось, поэтому встроенные записаны в {0} - править их там
$SBWHISPERRU_LOG_SETTINGS_UNWRITABLE	настройки не удалось записать в {0} - работаем на встроенных значениях, и изменить ничего нельзя, пока папка не станет доступной для записи
$SBWHISPERRU_LOG_SETTINGS_UNREADABLE	файл настроек {0} не открылся - пропускаем его
$SBWHISPERRU_LOG_SETTINGS_BROKEN	файл настроек {0} не разобрался: {1} - пропускаем его
$SBWHISPERRU_LOG_SETTINGS_NO_ID	в файле настроек {0} нет id - пропускаем его: ответ подписывается именно id, и больше его ничто не опознаёт
$SBWHISPERRU_LOG_SETTINGS_TWICE	модель {0} объявлена дважды, в {1} и в {2} - берём первую; адаптер отказал бы второй как дубликату
$SBWHISPERRU_LOG_NO_MODELS	в {0} не настроено ни одной модели - этот мод ничего не зарегистрирует
$SBWHISPERRU_LOG_MODEL	модель {0} ({1}), объявлена как {2}, веса {3}, из {4}
$SBWHISPERRU_LOG_MODEL_OFF	модель {0} выключена в своих настройках - не регистрируем
$SBWHISPERRU_LOG_PATH_OUTSIDE	путь «{0}» в {1} выводит за пределы папки мода - отказ: проверенное и отгруженное должны быть одним и тем же

# --- meeting the adapter ----------------------------------------------------
$SBWHISPERRU_LOG_HOST_PAYLOAD	в рассылке адаптера пришло {0} байт вместо указателя - отказ, разыменовывать это нельзя
$SBWHISPERRU_LOG_HOST_MALFORMED	таблица адаптера нечитаема: structBytes {0}
