# The Envoy demo subscribers - every line the player can read, Russian.
#
# Translated from localization/envoydemo.english.txt. The three vocabulary
# phrases are the ones the run of 04.09 was recorded with, so the scenarios in
# bridge/tests and this table say the same words.

$ENVOYDEMO_NOBODY	никого
$ENVOYDEMO_ON_AIR	Envoy на связи, участников:
$ENVOYDEMO_SAY_SOMETHING	Скажи что-нибудь - следующий диалог покажет распознанный текст.
$ENVOYDEMO_HEARS	Envoy слышит.
$ENVOYDEMO_TOPIC	тема
$ENVOYDEMO_RECOGNISED	распознано
$ENVOYDEMO_COMPLETENESS	завершённость
$ENVOYDEMO_FURTHER	Дальше отчёт пойдёт надписями в углу.
$ENVOYDEMO_OUTCOME	итог
$ENVOYDEMO_UTTERANCE	Реплика
$ENVOYDEMO_REASON	Причина
$ENVOYDEMO_GREEDY	жадный
$ENVOYDEMO_SHARED	делящийся
$ENVOYDEMO_BIDS	ставлю
$ENVOYDEMO_TOOK_IT	ВЗЯЛ СЕБЕ
$ENVOYDEMO_GOT_IT	получил, победителей:
$ENVOYDEMO_REFUSED	отказ
$ENVOYDEMO_WINNERS_TOTAL	Победителей всего:
$ENVOYDEMO_GREEDY_WON	ЖАДНЫЙ ВЗЯЛ РЕПЛИКУ СЕБЕ
$ENVOYDEMO_GREEDY_WON_WHY	Он требовал исключительности и получил её - значит делящийся остался ни с чем.
$ENVOYDEMO_GREEDY_DENIED	ЖАДНОМУ ОТКАЗАНО
$ENVOYDEMO_SHARED_WON	ДЕЛЯЩИЙСЯ ПОЛУЧИЛ РЕПЛИКУ
$ENVOYDEMO_SHARED_WON_WHY	Он делится, поэтому жадный выбыл целиком - тот требовал исключительности.
$ENVOYDEMO_SHARED_DENIED	ДЕЛЯЩЕМУСЯ ОТКАЗАНО
$ENVOYDEMO_WORD_DOOR	закрой дверь
$ENVOYDEMO_WORD_RADIOCHECK	проверка связи
$ENVOYDEMO_WORD_AROUND	что вокруг
$ENVOYDEMO_NO_BRIDGE	Envoy: моста нет.\n\nПлагин Envoy.dll не загрузился - смотри Envoy.log.
$ENVOYDEMO_NOT_MINE	не моё
$ENVOYDEMO_DECLARED	объявился, словарь из
$ENVOYDEMO_PHRASES	фраз
